Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-02-01,01:05:00,302,96,242660,1200,0,0,0
2007-02-01,01:06:00,302,96,242770,1200,0,0,0
2007-02-01,01:07:00,300,96,242600,1200,0,0,0
2007-02-01,01:08:00,298,94,242380,1200,0,0,0
2007-02-01,01:09:00,298,94,242210,1200,0,0,0
2007-02-01,01:10:00,296,96,242610,1200,0,0,0
2007-02-01,01:11:00,296,94,242240,1200,0,0,0
2007-02-01,01:12:00,258,0,242660,1e3,0,0,0
2007-02-01,01:13:00,226,0,242990,1e3,0,0,0
2007-02-01,01:14:00,228,0,243530,1e3,0,0,0
2007-02-01,01:15:00,316,88,243120,1400,0,0,0
2007-02-01,01:16:00,434,252,242830,2200,0,0,0
2007-02-01,01:17:00,418,254,243080,2e3,0,2e3,0
2007-02-01,01:18:00,414,254,243350,2e3,0,1e3,0
2007-02-01,01:19:00,412,252,242710,2e3,0,1e3,0
2007-02-01,01:20:00,410,246,241630,2e3,0,2e3,0
2007-02-01,01:21:00,408,246,241860,2e3,0,1e3,0
2007-02-01,01:22:00,408,248,242170,2e3,0,2e3,0
2007-02-01,01:23:00,404,244,241700,2e3,0,1e3,0
2007-02-01,01:24:00,402,242,241140,1800,0,1e3,0
2007-02-01,01:25:00,402,244,241410,1800,0,2e3,0
2007-02-01,01:26:00,402,246,241950,1800,0,1e3,0
2007-02-01,01:27:00,402,248,242360,1800,0,2e3,0
2007-02-01,01:28:00,402,250,242600,1800,0,1e3,0
2007-02-01,01:29:00,398,246,242110,1800,0,1e3,0
2007-02-01,01:30:00,336,156,241880,1600,0,2e3,0
2007-02-01,01:31:00,300,104,240780,1200,0,1e3,0
2007-02-01,01:32:00,300,104,240680,1200,0,1e3,0
2007-02-01,01:33:00,300,106,240870,1200,0,2e3,0
2007-02-01,01:34:00,298,106,241e3,1200,0,1e3,0
2007-02-01,01:35:00,298,106,240970,1200,0,1e3,0
2007-02-01,01:36:00,298,106,241090,1200,0,1e3,0
2007-02-01,01:37:00,298,106,241100,1200,0,2e3,0
2007-02-01,01:38:00,298,106,241210,1200,0,1e3,0
2007-02-01,01:39:00,296,106,241270,1200,0,1e3,0
2007-02-01,01:40:00,296,108,241400,1200,0,1e3,0
2007-02-01,01:41:00,296,108,241610,1200,0,1e3,0
2007-02-01,01:42:00,296,106,241370,1200,0,2e3,0
2007-02-01,01:43:00,294,106,240990,1200,0,1e3,0
2007-02-01,01:44:00,294,106,241270,1200,0,1e3,0
2007-02-01,01:45:00,242,0,241260,1e3,0,0,0
2007-02-01,01:46:00,224,0,241760,1e3,0,0,0
2007-02-01,01:47:00,224,0,242380,1e3,0,0,0
2007-02-01,01:48:00,224,0,242150,1e3,0,0,0
2007-02-01,01:49:00,288,50,241690,1400,0,0,0
2007-02-01,01:50:00,298,88,241020,1200,0,0,0
2007-02-01,01:51:00,298,88,240750,1200,0,0,0
2007-02-01,01:52:00,298,88,241060,1200,0,0,0
2007-02-01,01:53:00,300,90,241570,1200,0,0,0
2007-02-01,01:54:00,300,94,242290,1200,0,0,0
2007-02-01,01:55:00,300,96,242770,1200,0,0,0
2007-02-01,01:56:00,386,190,242480,1800,0,0,0
2007-02-01,01:57:00,406,228,242240,1800,0,0,0
2007-02-01,01:58:00,398,222,242110,1800,0,0,0
2007-02-01,01:59:00,326,116,240550,1400,0,0,0
2007-02-01,02:00:00,324,116,240330,1400,0,0,0
2007-02-01,02:01:00,328,126,242570,1400,0,0,0
2007-02-01,02:02:00,328,130,243120,1400,0,0,0
2007-02-01,02:03:00,326,128,243050,1400,0,0,0
2007-02-01,02:04:00,324,128,243090,1400,0,0,0
2007-02-01,02:05:00,322,124,242070,1400,0,0,0
2007-02-01,02:06:00,322,124,242210,1400,0,0,0
2007-02-01,02:07:00,322,126,242470,1400,0,0,0
2007-02-01,02:08:00,322,126,242570,1400,0,0,0
2007-02-01,02:09:00,322,128,243080,1400,0,0,0
2007-02-01,02:10:00,322,130,243280,1400,0,0,0
2007-02-01,02:11:00,242,0,243520,1e3,0,0,0
2007-02-01,02:12:00,228,0,244090,1e3,0,0,0
2007-02-01,02:13:00,228,0,244020,1e3,0,0,0
2007-02-01,02:14:00,228,0,244020,1e3,0,0,0
2007-02-01,02:15:00,226,0,243250,1e3,0,0,0
2007-02-01,02:16:00,226,0,243060,1e3,0,0,0
2007-02-01,02:17:00,228,0,243380,1e3,0,0,0
2007-02-01,02:18:00,228,0,243910,1e3,0,0,0
2007-02-01,02:19:00,228,0,243930,1e3,0,0,0
2007-02-01,02:20:00,228,0,243550,1e3,0,0,0
2007-02-01,02:21:00,228,0,243450,1e3,0,0,0
2007-02-01,02:22:00,226,0,242420,1e3,0,0,0
2007-02-01,02:23:00,226,0,243140,1e3,0,0,0
2007-02-01,02:24:00,228,0,243370,1e3,0,0,0
2007-02-01,02:25:00,228,0,243530,1e3,0,0,0
2007-02-01,02:26:00,226,0,243220,1e3,0,0,0
2007-02-01,02:27:00,228,0,243570,1e3,0,0,0
2007-02-01,02:28:00,228,0,243760,1e3,0,0,0
2007-02-01,02:29:00,226,0,243360,1e3,0,0,0
2007-02-01,02:30:00,226,0,243170,1e3,0,0,0
2007-02-01,02:31:00,228,0,243580,1e3,0,0,0
2007-02-01,02:32:00,228,0,244100,1e3,0,0,0
2007-02-01,02:33:00,230,0,244550,1e3,0,0,0
2007-02-01,02:34:00,230,0,244980,1e3,0,0,0
2007-02-01,02:35:00,228,0,244360,1e3,0,0,0
2007-02-01,02:36:00,292,60,244420,1400,0,0,0
2007-02-01,02:37:00,388,190,243850,1800,0,0,0
2007-02-01,02:38:00,416,238,243830,2e3,0,0,0
2007-02-01,02:39:00,416,244,243730,2e3,0,0,0
2007-02-01,02:40:00,436,276,244660,2e3,0,0,0
2007-02-01,02:41:00,436,280,245020,2e3,0,0,0
2007-02-01,02:42:00,432,280,245060,2e3,0,0,0
2007-02-01,02:43:00,426,272,244040,2e3,0,0,0
2007-02-01,02:44:00,424,270,243580,2e3,0,0,0
2007-02-01,02:45:00,420,268,243420,2e3,0,0,0
2007-02-01,02:46:00,350,160,243190,1600,0,0,0
2007-02-01,02:47:00,350,164,243900,1600,0,0,0
2007-02-01,02:48:00,348,162,243600,1600,0,0,0
2007-02-01,02:49:00,346,160,243040,1600,0,0,0
2007-02-01,02:50:00,346,162,243440,1600,0,0,0
2007-02-01,02:51:00,346,162,243350,1600,0,0,0
2007-02-01,02:52:00,256,0,243340,1e3,0,0,0
2007-02-01,02:53:00,252,0,243210,1e3,0,0,0
2007-02-01,02:54:00,252,0,242960,1e3,0,0,0
2007-02-01,02:55:00,252,0,243330,1e3,0,0,0
2007-02-01,02:56:00,252,0,243160,1e3,0,0,0
2007-02-01,02:57:00,250,0,242770,1e3,0,0,0
2007-02-01,02:58:00,252,0,243360,1e3,0,0,0
2007-02-01,02:59:00,252,0,243380,1e3,0,0,0
2007-02-01,03:00:00,252,0,243500,1e3,0,0,0
2007-02-01,03:01:00,252,0,243570,1e3,0,0,0
2007-02-01,03:02:00,254,0,244240,1e3,0,0,0
2007-02-01,03:03:00,254,0,244220,1e3,0,0,0
2007-02-01,03:04:00,254,0,243990,1e3,0,0,0
2007-02-01,03:05:00,252,0,243440,1e3,0,0,0
2007-02-01,03:06:00,252,0,243400,1e3,0,0,0
2007-02-01,03:07:00,252,0,243490,1e3,0,0,0
2007-02-01,03:08:00,252,0,243550,1e3,0,0,0
2007-02-01,03:09:00,252,0,243190,1e3,0,0,0
2007-02-01,03:10:00,254,0,243740,1e3,0,0,0
2007-02-01,03:11:00,254,0,244110,1e3,0,0,0
2007-02-01,03:12:00,250,0,242840,1e3,0,0,0
2007-02-01,03:13:00,250,0,242810,1e3,0,0,0
2007-02-01,03:14:00,250,0,242480,1e3,0,0,0
2007-02-01,03:15:00,250,0,242500,1e3,0,0,0
2007-02-01,03:16:00,250,0,242760,1e3,0,0,0
2007-02-01,03:17:00,250,0,242920,1e3,0,0,0
2007-02-01,03:18:00,368,150,242490,1600,0,0,0
2007-02-01,03:19:00,360,158,242860,1600,0,0,0
2007-02-01,03:20:00,358,162,243330,1600,0,0,0
2007-02-01,03:21:00,358,162,243530,1600,0,0,0
2007-02-01,03:22:00,356,162,243440,1600,0,0,0
2007-02-01,03:23:00,386,184,243530,1800,0,0,0
2007-02-01,03:24:00,406,234,243e3,1800,0,0,0
2007-02-01,03:25:00,404,238,243800,1800,0,0,0
2007-02-01,03:26:00,402,236,243500,1800,0,0,0
2007-02-01,03:27:00,400,234,243130,1800,0,0,0
2007-02-01,03:28:00,400,234,243340,1800,0,0,0
2007-02-01,03:29:00,398,236,243510,1800,0,0,0
2007-02-01,03:30:00,396,238,243860,1800,0,0,0
2007-02-01,03:31:00,392,234,243030,1800,0,0,0
2007-02-01,03:32:00,346,166,242990,1600,0,0,0
2007-02-01,03:33:00,258,0,243120,1e3,0,0,0
2007-02-01,03:34:00,224,0,242060,1e3,0,0,0
2007-02-01,03:35:00,224,0,241770,1e3,0,0,0
2007-02-01,03:36:00,226,0,242340,1e3,0,0,0
2007-02-01,03:37:00,228,0,243260,1e3,0,0,0
2007-02-01,03:38:00,228,0,243710,1e3,0,0,0
2007-02-01,03:39:00,230,0,244830,1e3,0,0,0
2007-02-01,03:40:00,230,0,244690,1e3,0,0,0
2007-02-01,03:41:00,230,0,244550,1e3,0,0,0
2007-02-01,03:42:00,230,0,244380,1e3,0,0,0
2007-02-01,03:43:00,230,0,244400,1e3,0,0,0
2007-02-01,03:44:00,228,0,244160,1e3,0,0,0
2007-02-01,03:45:00,268,0,244210,1400,0,0,0
2007-02-01,03:46:00,312,120,244130,1400,0,1e3,0
2007-02-01,03:47:00,312,120,244220,1400,0,1e3,0
2007-02-01,03:48:00,312,118,243960,1400,0,2e3,0
2007-02-01,03:49:00,312,116,243480,1400,0,1e3,0
2007-02-01,03:50:00,312,118,243840,1400,0,2e3,0
2007-02-01,03:51:00,314,120,243920,1400,0,1e3,0
2007-02-01,03:52:00,314,122,244500,1400,0,1e3,0
2007-02-01,03:53:00,314,122,244600,1400,0,2e3,0
2007-02-01,03:54:00,314,122,244560,1400,0,1e3,0
2007-02-01,03:55:00,312,120,243910,1400,0,2e3,0
2007-02-01,03:56:00,310,116,243550,1400,0,1e3,0
2007-02-01,03:57:00,310,116,243580,1400,0,1e3,0
2007-02-01,03:58:00,308,112,242740,1400,0,2e3,0
2007-02-01,03:59:00,412,228,242720,2e3,0,1e3,0
2007-02-01,04:00:00,416,250,242710,2e3,0,1e3,0
2007-02-01,04:01:00,410,248,242320,2e3,0,2e3,0
2007-02-01,04:02:00,408,248,242360,2e3,0,1e3,0
2007-02-01,04:03:00,406,246,242120,2e3,0,1e3,0
2007-02-01,04:04:00,404,248,242180,2e3,0,2e3,0
2007-02-01,04:05:00,402,248,242220,1800,0,1e3,0
2007-02-01,04:06:00,400,246,241980,1800,0,1e3,0
2007-02-01,04:07:00,398,246,242090,1800,0,1e3,0
2007-02-01,04:08:00,396,246,241920,1800,0,1e3,0
2007-02-01,04:09:00,396,250,242610,1800,0,2e3,0
2007-02-01,04:10:00,396,252,242990,1800,0,1e3,0
2007-02-01,04:11:00,432,280,243060,2200,0,1e3,0
2007-02-01,04:12:00,470,358,242940,2400,0,1e3,0
2007-02-01,04:13:00,428,296,243070,2200,0,2e3,0
2007-02-01,04:14:00,348,170,242850,1600,0,0,0
2007-02-01,04:15:00,304,94,242730,1200,0,0,0
2007-02-01,04:16:00,302,94,242650,1200,0,0,0
2007-02-01,04:17:00,302,96,243080,1200,0,0,0
2007-02-01,04:18:00,300,100,243600,1200,0,0,0
2007-02-01,04:19:00,298,96,243050,1200,0,0,0
2007-02-01,04:20:00,292,86,243380,1200,0,0,0
2007-02-01,04:21:00,228,0,243820,1e3,0,0,0
2007-02-01,04:22:00,228,0,243730,1e3,0,0,0
2007-02-01,04:23:00,230,0,244260,1e3,0,0,0
2007-02-01,04:24:00,230,0,244980,1e3,0,0,0
2007-02-01,04:25:00,230,0,244950,1e3,0,0,0
2007-02-01,04:26:00,234,0,244300,1e3,0,0,0
2007-02-01,04:27:00,250,0,243730,1e3,0,0,0
2007-02-01,04:28:00,250,0,243230,1e3,0,0,0
2007-02-01,04:29:00,226,0,242830,1e3,0,0,0
2007-02-01,04:30:00,226,0,242750,1e3,0,0,0
2007-02-01,04:31:00,226,0,243e3,1e3,0,0,0
2007-02-01,04:32:00,228,0,243300,1e3,0,0,0
2007-02-01,04:33:00,228,0,243400,1e3,0,0,0
2007-02-01,04:34:00,226,0,242690,1e3,0,0,0
2007-02-01,04:35:00,226,0,242310,1e3,0,0,0
2007-02-01,04:36:00,224,0,242160,1e3,0,0,0
2007-02-01,04:37:00,224,0,242130,1e3,0,0,0
2007-02-01,04:38:00,224,0,242020,1e3,0,0,0
2007-02-01,04:39:00,226,0,242490,1e3,0,0,0
2007-02-01,04:40:00,320,90,243160,1400,0,0,0
2007-02-01,04:41:00,338,128,243110,1400,0,0,0
2007-02-01,04:42:00,332,122,242150,1400,0,0,0
2007-02-01,04:43:00,330,124,242260,1400,0,0,0
2007-02-01,04:44:00,328,124,242180,1400,0,0,0
2007-02-01,04:45:00,326,122,242010,1400,0,0,0
2007-02-01,04:46:00,326,122,242010,1400,0,0,0
2007-02-01,04:47:00,324,120,241670,1400,0,0,0
2007-02-01,04:48:00,322,120,241500,1400,0,0,0
2007-02-01,04:49:00,320,120,241370,1400,0,0,0
2007-02-01,04:50:00,320,122,241780,1400,0,0,0
2007-02-01,04:51:00,320,124,242270,1400,0,0,0
2007-02-01,04:52:00,320,120,241880,1400,0,0,0
2007-02-01,04:53:00,318,120,241810,1400,0,0,0
2007-02-01,04:54:00,270,52,241920,1200,0,0,0
2007-02-01,04:55:00,224,0,241680,1e3,0,0,0
2007-02-01,04:56:00,224,0,241380,1e3,0,0,0
2007-02-01,04:57:00,222,0,240580,1e3,0,0,0
2007-02-01,04:58:00,222,0,240810,1e3,0,0,0
2007-02-01,04:59:00,288,48,241040,1400,0,0,0
2007-02-01,05:00:00,300,90,241540,1200,0,0,0
2007-02-01,05:01:00,300,88,241420,1200,0,0,0
2007-02-01,05:02:00,300,88,241450,1200,0,0,0
2007-02-01,05:03:00,298,86,240860,1200,0,0,0
2007-02-01,05:04:00,294,84,239840,1200,0,0,0
2007-02-01,05:05:00,294,82,239500,1200,0,0,0
2007-02-01,05:06:00,292,82,239820,1200,0,0,0
2007-02-01,05:07:00,292,82,239820,1200,0,0,0
2007-02-01,05:08:00,248,0,240780,1e3,0,0,0
2007-02-01,05:09:00,222,0,240920,1e3,0,0,0
2007-02-01,05:10:00,222,0,240740,1e3,0,0,0
2007-02-01,05:11:00,222,0,241150,1e3,0,0,0
2007-02-01,05:12:00,224,0,241370,1e3,0,0,0
2007-02-01,05:13:00,224,0,241710,1e3,0,0,0
2007-02-01,05:14:00,226,0,242680,1e3,0,0,0
2007-02-01,05:15:00,226,0,243110,1e3,0,0,0
2007-02-01,05:16:00,226,0,243060,1e3,0,0,0
2007-02-01,05:17:00,226,0,243010,1e3,0,0,0
2007-02-01,05:18:00,226,0,242770,1e3,0,0,0
2007-02-01,05:19:00,224,0,241510,1e3,0,0,0
2007-02-01,05:20:00,224,0,241420,1e3,0,0,0
2007-02-01,05:21:00,300,62,240770,1400,0,0,0
2007-02-01,05:22:00,334,116,240810,1400,0,0,0
2007-02-01,05:23:00,330,116,240950,1400,0,0,0
2007-02-01,05:24:00,328,120,241430,1400,0,0,0
2007-02-01,05:25:00,328,120,241520,1400,0,0,0
2007-02-01,05:26:00,326,120,241490,1400,0,0,0
2007-02-01,05:27:00,324,118,240890,1400,0,0,0
2007-02-01,05:28:00,322,118,240910,1400,0,0,0
2007-02-01,05:29:00,322,122,241850,1400,0,0,0
2007-02-01,05:30:00,320,118,241110,1400,0,0,0
2007-02-01,05:31:00,318,118,240930,1400,0,0,0
2007-02-01,05:32:00,318,118,240880,1400,0,0,0
2007-02-01,05:33:00,316,116,240670,1400,0,0,0
2007-02-01,05:34:00,316,114,240340,1400,0,0,0
2007-02-01,05:35:00,270,52,240200,1200,0,0,0
2007-02-01,05:36:00,222,0,240620,1e3,0,0,0
2007-02-01,05:37:00,1138,0,240100,5e3,0,0,13e3
2007-02-01,05:38:00,1320,0,239790,5400,0,0,19e3
2007-02-01,05:39:00,1302,0,239360,5400,0,0,18e3
2007-02-01,05:40:00,1290,0,239250,5400,0,0,17e3
2007-02-01,05:41:00,1278,0,238560,5200,0,0,18e3
2007-02-01,05:42:00,1276,0,238610,5200,0,0,18e3
2007-02-01,05:43:00,1282,0,239310,5200,0,0,17e3
2007-02-01,05:44:00,1284,0,239560,5200,0,0,18e3
2007-02-01,05:45:00,1290,0,240290,5200,0,0,18e3
2007-02-01,05:46:00,1290,0,240300,5200,0,0,17e3
2007-02-01,05:47:00,1336,0,239670,5600,0,0,18e3
2007-02-01,05:48:00,1354,72,239520,5600,0,0,18e3
2007-02-01,05:49:00,1350,72,239020,5600,0,0,17e3
2007-02-01,05:50:00,1340,68,238150,5600,0,0,18e3
2007-02-01,05:51:00,1342,68,238350,5600,0,0,17e3
2007-02-01,05:52:00,1336,68,237970,5600,0,0,17e3
2007-02-01,05:53:00,1340,70,238560,5600,0,0,18e3
2007-02-01,05:54:00,1342,70,238900,5600,0,0,17e3
2007-02-01,05:55:00,1340,70,238840,5600,0,0,18e3
2007-02-01,05:56:00,1302,0,238710,5400,0,0,17e3
2007-02-01,05:57:00,1278,0,239310,5200,0,0,18e3
2007-02-01,05:58:00,1284,0,239910,5200,0,0,17e3
2007-02-01,05:59:00,1286,0,239840,5200,0,0,18e3
2007-02-01,06:00:00,1282,0,239020,5200,0,0,18e3
2007-02-01,06:01:00,1294,0,240310,5400,0,0,17e3
2007-02-01,06:02:00,1346,0,240220,5600,0,0,18e3
2007-02-01,06:03:00,1404,104,240290,5800,0,0,18e3
2007-02-01,06:04:00,1410,108,241270,5800,0,0,17e3
2007-02-01,06:05:00,1424,116,242850,5800,0,0,19e3
2007-02-01,06:06:00,1424,118,243010,5800,0,0,18e3
2007-02-01,06:07:00,1422,118,242530,5800,0,0,18e3
2007-02-01,06:08:00,1490,132,241970,6200,0,0,18e3
2007-02-01,06:09:00,1494,130,241650,6200,0,0,18e3
2007-02-01,06:10:00,1488,128,241330,6200,0,0,17e3
2007-02-01,06:11:00,1484,128,241e3,6200,0,0,18e3
2007-02-01,06:12:00,1476,126,240540,6e3,0,0,18e3
2007-02-01,06:13:00,1470,122,240320,6e3,0,0,18e3
2007-02-01,06:14:00,858,112,241160,4e3,0,0,6e3
2007-02-01,06:15:00,558,118,241860,2400,0,0,0
2007-02-01,06:16:00,580,128,242530,2400,0,0,0
2007-02-01,06:17:00,552,112,243110,2200,0,1e3,0
2007-02-01,06:18:00,548,110,242630,2200,0,2e3,0
2007-02-01,06:19:00,502,110,242760,2e3,0,1e3,0
2007-02-01,06:20:00,490,114,243230,2e3,0,1e3,0
2007-02-01,06:21:00,490,114,243510,2e3,0,2e3,0
2007-02-01,06:22:00,1102,106,242820,5e3,0,1e3,8e3
2007-02-01,06:23:00,1590,98,241820,6600,0,2e3,18e3
2007-02-01,06:24:00,1590,102,242860,6400,0,1e3,19e3
2007-02-01,06:25:00,1586,102,243140,6400,0,1e3,18e3
2007-02-01,06:26:00,1588,104,243560,6400,0,2e3,18e3
2007-02-01,06:27:00,1584,104,243350,6400,0,1e3,18e3
2007-02-01,06:28:00,1580,102,243220,6400,0,1e3,19e3
2007-02-01,06:29:00,1580,104,243310,6400,0,2e3,18e3
2007-02-01,06:30:00,1578,104,243250,6400,0,1e3,18e3
2007-02-01,06:31:00,1578,104,243470,6400,0,1e3,18e3
2007-02-01,06:32:00,1578,104,243510,6400,0,2e3,18e3
2007-02-01,06:33:00,1570,102,242990,6400,0,1e3,18e3
2007-02-01,06:34:00,1574,104,243470,6400,0,1e3,18e3
2007-02-01,06:35:00,1606,128,243180,6600,0,2e3,19e3
2007-02-01,06:36:00,2246,228,241120,9400,0,1e3,17e3
2007-02-01,06:37:00,2658,224,240560,11e3,0,1e3,18e3
2007-02-01,06:38:00,4962,204,238690,22400,0,1e3,18e3
2007-02-01,06:39:00,6536,188,236900,27600,0,2e3,17e3
2007-02-01,06:40:00,5292,202,238440,22200,0,1e3,17e3
2007-02-01,06:41:00,5810,208,237640,24400,0,1e3,18e3
2007-02-01,06:42:00,5606,262,237630,23800,0,1e3,17e3
2007-02-01,06:43:00,4678,310,238980,19800,0,1e3,17e3
2007-02-01,06:44:00,3900,380,239750,16400,0,2e3,18e3
2007-02-01,06:45:00,3368,322,240290,14e3,0,0,18e3
2007-02-01,06:46:00,3180,270,240730,13200,0,0,18e3
2007-02-01,06:47:00,3178,266,240650,13200,0,0,17e3
2007-02-01,06:48:00,3192,268,240940,13200,0,0,18e3
2007-02-01,06:49:00,3252,268,240980,13400,0,0,18e3
2007-02-01,06:50:00,3124,160,240730,13e3,0,0,18e3
2007-02-01,06:51:00,2792,122,240630,11600,0,0,17e3
2007-02-01,06:52:00,2808,124,240930,11600,0,0,18e3
2007-02-01,06:53:00,2818,126,241430,11600,0,0,18e3
2007-02-01,06:54:00,2812,126,241530,11600,0,0,18e3
2007-02-01,06:55:00,2970,122,241060,12200,0,0,18e3
2007-02-01,06:56:00,3004,118,240630,12400,0,0,18e3
2007-02-01,06:57:00,2974,118,240310,12400,0,0,17e3
2007-02-01,06:58:00,2924,0,241080,12e3,0,0,18e3
2007-02-01,06:59:00,2912,0,241480,12e3,0,0,18e3
2007-02-01,07:00:00,2708,0,241550,11200,0,0,18e3
2007-02-01,07:01:00,3180,0,240460,13200,0,0,18e3
2007-02-01,07:02:00,3026,0,240230,12600,0,0,17e3
2007-02-01,07:03:00,2992,0,24e4,12400,0,0,18e3
2007-02-01,07:04:00,2938,0,239540,12200,0,0,17e3
2007-02-01,07:05:00,2930,0,239800,12200,0,0,18e3
2007-02-01,07:06:00,2934,0,240060,12200,0,0,18e3
2007-02-01,07:07:00,2894,0,239770,12e3,0,0,17e3
2007-02-01,07:08:00,2842,0,238820,11800,0,0,18e3
2007-02-01,07:09:00,2874,0,240230,11800,0,0,18e3
2007-02-01,07:10:00,2360,0,242680,9800,0,0,18e3
2007-02-01,07:11:00,2106,0,243290,8600,0,0,18e3
2007-02-01,07:12:00,2126,0,242090,8800,0,0,18e3
2007-02-01,07:13:00,2108,0,241560,8600,0,0,18e3
2007-02-01,07:14:00,2108,0,241180,8600,0,0,17e3
2007-02-01,07:15:00,2108,0,240600,8800,0,0,18e3
2007-02-01,07:16:00,2120,0,240610,8800,0,0,18e3
2007-02-01,07:17:00,2116,0,240220,8800,0,0,18e3
2007-02-01,07:18:00,2060,0,239650,8600,0,0,17e3
2007-02-01,07:19:00,2586,0,239340,10800,0,0,18e3
2007-02-01,07:20:00,2448,94,239060,10200,0,0,17e3
2007-02-01,07:21:00,2088,102,240270,8600,0,0,18e3
2007-02-01,07:22:00,2150,92,239630,9e3,0,0,18e3
2007-02-01,07:23:00,2206,90,239790,9200,0,0,17e3
2007-02-01,07:24:00,2292,180,239560,9600,0,0,18e3
2007-02-01,07:25:00,2320,220,239290,9600,0,0,17e3
2007-02-01,07:26:00,2494,212,238520,10400,0,0,18e3
2007-02-01,07:27:00,2670,214,239100,11200,0,0,17e3
2007-02-01,07:28:00,3066,212,239750,12800,0,0,18e3
2007-02-01,07:29:00,2760,214,240020,11400,0,0,18e3
2007-02-01,07:30:00,3070,222,239360,12800,0,0,17e3
2007-02-01,07:31:00,3004,162,238980,12600,0,0,18e3
2007-02-01,07:32:00,3492,114,237960,14600,0,0,17e3
2007-02-01,07:33:00,3628,114,237510,15200,0,0,17e3
2007-02-01,07:34:00,3730,114,237610,15600,0,0,18e3
